X,y
"(MoO2S5,1);(MoS5,291);(MoOS6,11)","(MoS5,84);(MoS7,16)"
"(MoS2,19);(MoS4,24);(MoS3,110)","(MoS5,374);(MoS7,17)"
"(Mo2S6,27);(MoOS,33);(Mo2S6,18)","(MoS5,61);(MoS7,15)"
"(MoS5,337);(Mo2S8,45);(Mo2S7,174)","(MoS5,27);(MoS7,19)"
"(MoS,1);(MoOS4,25);(MoS3,91)","(MoS5,99);(MoS7,18)"
"(MoS5,3);(MoS2,1);(MoS3,233)","(MoS5,588);(MoS7,19)"
"(MoOS7,1);(MoS4,3);(MoOS5,18)","(MoOS6,271);(MoS7,19)"
"(MoS5,11);(MoS3,3);(MoS5,271)","(Mo2S10,1);(MoS7,19)"
"(MoS5,13);(MoS4,52);(Mo2S10,10)","(MoS5,451);(MoS7,18)"
"(MoS2,74);(MoS4,17);(MoS2,257)","(MoS4,143);(MoS7,19)"
"(Mo2S9,10);(MoS5,1);(MoS3,89)","(MoS5,493);(MoS7,19)"
"(MoS3,360);(MoOS4,20);(MoS3,368)","(MoS5,217);(MoS7,20)"
"(MoOS6,14);(MoS5,2);(MoOS6,7)","(MoS5,15);(MoS7,18)"
"(MoOS2,15);(MoS4,117);(Mo2S9,85)","(Mo2S8,1130);(MoS7,19)"
"(MoOS,72);(MoS4,2);(Mo2S5,133)","(MoS5,431);(MoS7,18)"
"(MoOS2,21);(MoOS4,20);(MoS3,274)","(MoS5,217);(MoS7,19)"
"(MoS5,76);(MoS3,136);(MoOS4,34)","(MoS5,602);(MoS7,20)"
"(MoOS2,31);(MoOS4,4);(MoS3,313)","(MoS5,286);(MoS7,21)"
"(MoOS5,13);(MoS4,3);(MoOS5,108)","(MoS4,38);(MoS7,18)"
"(Mo2S5,15);(MoS2,71);(MoS3,376)","(MoS5,172);(MoS7,20)"
"(MoS3,191);(MoS5,62);(MoOS6,2)","(MoS5,234);(MoS7,18)"
"(MoOS2,31);(MoOS4,4);(MoS3,313)","(MoS5,286);(MoS7,21)"
"(MoS3,188);(MoS5,19);(MoS3,42)","(MoS5,220);(MoS7,20)"
"(MoS4,10);(MoS2,3);(MoS3,3)","(MoS5,537);(MoS7,25)"
"(MoOS4,16);(MoS5,63);(Mo2S6,108)","(MoS5,70);(MoS7,23)"
"(MoOS3,45);(MoS2,1);(MoOS5,6)","(MoS4,291);(MoS7,24)"
"(MoOS6,3);(MoS5,2);(MoOS6,4)","(MoS5,128);(MoS7,22)"
"(MoO2S5,2);(MoS5,2);(MoO2S5,4)","(MoS5,10);(MoS7,23)"
"(MoS3,218);(MoS5,21);(MoS3,251)","(MoS5,495);(MoS7,26)"
"(MoOS6,11);(MoS5,2);(MoOS6,10)","(MoS5,6);(MoS7,23)"
"(MoS3,45);(MoS5,3);(MoS3,160)","(MoS5,635);(MoS7,25)"
"(MoS3,123);(MoOS4,13);(MoOS6,1)","(MoS5,375);(MoS7,25)"
"(MoS3,87);(MoS5,136);(MoS3,187)","(MoS5,693);(MoS7,22)"
"(MoOS2,1);(MoOS4,4);(MoS3,177)","(MoS5,249);(MoS7,25)"
"(Mo2S8,15);(MoS5,1);(Mo2S10,7)","(MoS5,82);(MoS7,24)"
"(MoS3,79);(MoS5,2);(MoS3,7)","(MoS5,585);(MoS7,26)"
"(Mo2S5,2);(MoS4,231);(MoOS5,8)","(MoS5,353);(MoS7,22)"
"(MoS3,115);(MoS5,8);(MoS3,98)","(MoS5,100);(MoS7,24)"
"(MoS3,19);(MoS5,7);(MoS3,167)","(MoS5,218);(MoS7,26)"
"(MoOS6,11);(MoS5,2);(MoOS6,10)","(MoS5,6);(MoS7,23)"
"(MoS3,123);(MoS5,6);(MoOS6,2)","(MoS5,397);(MoS7,26)"
"(MoS3,107);(MoS5,36);(MoS3,2)","(MoS5,148);(MoS7,22)"
"(MoOS5,2);(MoS4,210);(Mo2S7,5)","(MoS5,38);(MoS7,23)"
"(Mo2S8,15);(Mo2S7,18);(Mo2S6,179)","(MoS5,606);(MoS7,27)"
"(MoS5,2);(MoOS6,46);(MoS5,3)","(MoOS6,74);(MoS7,31)"
"(Mo2S9,27);(MoS5,99);(MoOS6,4)","(MoS5,248);(MoS7,30)"
"(MoS3,61);(MoS5,300);(MoOS6,3)","(MoS5,78);(MoS7,28)"
"(Mo2S8,15);(Mo2S7,18);(Mo2S6,179)","(MoS5,606);(MoS7,27)"
"(MoOS6,33);(MoS5,3);(MoOS6,49)","(MoOS4,4);(MoS7,29)"
"(Mo2S5,22);(MoOS3,1);(MoS3,50)","(MoS5,206);(MoS7,31)"
"(Mo2S7,238);(Mo2S8,28);(MoS3,33)","(MoS5,190);(MoS7,27)"
"(MoS4,29);(MoS2,102);(MoS4,77)","(Mo2S10,126);(MoS7,32)"
"(MoOS5,2);(MoS4,169);(MoOS5,64)","(MoS5,131);(MoS7,27)"
"(MoO2S5,2);(MoOS4,32);(MoOS6,6)","(MoS5,92);(MoS7,28)"
"(MoS4,1);(Mo2S5,1);(Mo2S7,1)","(MoS5,230);(MoS7,32)"
"(MoOS3,11);(MoS2,89);(Mo2S6,6)","(MoS4,193);(MoS7,29)"
"(MoS,29);(Mo2S6,321);(Mo2S8,24)","(MoS5,6);(MoS7,32)"
"(MoS3,91);(Mo2S6,1);(MoS5,65)","(Mo2S9,1);(MoS7,31)"
"(MoOS2,58);(MoOS4,8);(MoS3,25)","(MoS5,178);(MoS7,32)"
"(MoS3,15);(MoS5,2);(MoS3,13)","(MoS5,267);(MoS7,28)"
"(MoS,82);(MoS3,3);(Mo2S7,22)","(MoS5,320);(MoS7,30)"
"(MoOS2,2);(MoS,281);(MoS3,74)","(MoS5,375);(MoS7,31)"
"(Mo2S7,111);(MoOS3,11);(Mo2S7,7)","(MoS5,67);(MoS7,30)"
"(MoS3,334);(MoS5,660);(Mo2S9,15)","(MoS5,17);(MoS7,34)"
"(MoOS4,1);(MoS5,1);(MoOS6,48)","(MoS5,283);(MoS7,33)"
"(Mo2S9,1);(MoS5,143);(MoOS6,3)","(MoS5,118);(MoS7,33)"
"(MoS3,1);(MoOS4,224);(MoOS6,1)","(MoS5,74);(MoS7,38)"
"(MoS4,425);(Mo2S8,19);(MoS4,37)","(MoS5,302);(MoS7,37)"
"(MoS3,209);(MoS5,20);(MoS3,129)","(MoS5,359);(MoS7,33)"
"(MoS3,5);(MoS5,32);(MoS3,113)","(MoS5,60);(MoS7,33)"
"(MoS5,263);(MoOS4,1);(MoOS6,1)","(MoS5,208);(MoS7,35)"
"(MoS,1);(MoOS4,3);(MoS3,315)","(MoS5,222);(MoS7,34)"
"(MoS,1);(MoOS4,3);(MoS3,315)","(MoS5,222);(MoS7,34)"
"(MoO2S5,2);(MoS5,2);(MoO2S5,3)","(MoS5,47);(MoS7,37)"
"(MoS4,114);(Mo2S6,204);(MoS4,58)","(MoS5,5);(MoS7,37)"
"(MoS2,25);(MoS4,283);(MoS3,61)","(MoS5,532);(MoS7,39)"
"(MoS3,465);(MoS5,73);(MoS3,248)","(MoS5,335);(MoS7,39)"
"(MoOS3,1);(MoOS4,4);(Mo2S8,20)","(MoS5,22);(MoS7,38)"
"(Mo2S8,9);(Mo2S10,8);(MoS4,1)","(MoS5,47);(MoS7,33)"
"(Mo2S8,12);(MoS5,253);(MoOS6,2)","(MoS5,152);(MoS7,36)"
"(MoOS3,23);(Mo2S7,71);(Mo2S9,9)","(MoS5,152);(MoS7,37)"
"(MoOS4,28);(MoS3,54);(MoS2,4)","(MoS4,131);(MoS7,37)"
"(Mo2S5,53);(MoS2,280);(Mo2S7,150)","(MoS5,225);(MoS7,35)"
"(MoS4,351);(MoOS5,96);(MoS4,240)","(MoS5,21);(MoS7,41)"
"(MoS4,35);(MoS2,2);(MoS4,2)","(MoS5,543);(MoS7,43)"
"(MoS3,419);(Mo2S9,19);(MoS4,1)","(MoS5,436);(MoS7,47)"
"(MoS3,89);(MoS5,15);(MoS3,2)","(MoS5,253);(MoS7,44)"
"(Mo2S9,6);(MoS5,260);(MoOS6,85)","(MoS5,357);(MoS7,42)"
"(MoS3,99);(MoOS4,5);(MoS3,34)","(MoS5,325);(MoS7,45)"
"(Mo2S8,1);(Mo2S9,1);(Mo2S7,280)","(MoS5,439);(MoS7,44)"
"(MoS3,615);(MoS2,1);(Mo2S9,70)","(MoS5,2);(MoS7,46)"
"(Mo2S9,6);(MoS5,260);(MoOS6,85)","(MoS5,357);(MoS7,42)"
"(MoOS,160);(MoOS4,2);(MoOS6,4)","(MoS5,713);(MoS7,45)"
"(Mo2S6,54);(MoS4,23);(Mo2S8,10)","(MoS5,189);(MoS7,46)"
"(MoOS,160);(MoOS4,2);(MoOS6,4)","(MoS5,713);(MoS7,45)"
"(MoOS6,1);(MoS5,235);(MoOS6,4)","(MoS5,467);(MoS7,41)"
"(MoOS,8);(MoOS4,1);(MoS3,201)","(MoS5,261);(MoS7,43)"
"(MoO2S5,2);(MoOS4,64);(MoOS6,1)","(MoS5,116);(MoS7,42)"
"(Mo2S8,14);(MoS5,375);(Mo2S10,4)","(Mo2S8,832);(MoS7,46)"
"(MoS3,5);(MoS5,19);(MoS3,522)","(MoS5,780);(MoS7,42)"
"(MoS4,351);(MoOS5,96);(MoS4,240)","(MoS5,21);(MoS7,41)"
"(Mo2S7,718);(Mo2S9,70);(MoS4,4)","(MoS5,241);(MoS7,47)"
"(MoOS6,2);(MoS5,87);(MoOS6,13)","(MoS5,206);(MoS7,43)"
"(MoS3,106);(MoS5,56);(MoS3,37)","(MoS5,167);(MoS7,49)"
"(MoS4,4);(MoOS5,53);(MoS4,2)","(MoOS5,1);(MoS7,55)"
"(MoS2,59);(Mo2S5,72);(Mo2S8,31)","(MoS5,50);(MoS7,52)"
"(Mo2S7,337);(Mo2S9,108);(Mo2S7,195)","(Mo2S9,387);(MoS7,54)"
"(MoS2,2);(MoS4,190);(Mo2S9,15)","(MoS5,531);(MoS7,52)"
"(Mo,5);(MoS,86);(MoS3,634)","(MoS5,93);(MoS7,52)"
"(MoS3,311);(MoS5,252);(MoOS6,6)","(MoS5,82);(MoS7,57)"
"(MoS4,291);(Mo2S8,143);(Mo2S10,40)","(MoS5,266);(MoS7,57)"
"(MoOS5,49);(MoOS4,17);(MoS4,4)","(MoS5,343);(MoS7,53)"
"(MoOS3,39);(MoS2,11);(Mo2S7,125)","(MoS5,252);(MoS7,49)"
"(Mo,5);(MoS,86);(MoS3,634)","(MoS5,93);(MoS7,52)"
"(Mo2S9,51);(MoS4,4);(Mo2S9,94)","(MoS5,245);(MoS7,52)"
"(MoOS6,36);(MoS5,299);(MoOS6,2)","(MoS5,171);(MoS7,50)"
"(Mo2S7,20);(MoS5,162);(MoOS6,17)","(MoS5,37);(MoS7,54)"
"(MoS3,49);(Mo2S5,20);(MoS3,8)","(MoS5,869);(MoS7,54)"
"(MoS4,43);(Mo2S8,171);(Mo2S10,26)","(MoS5,569);(MoS7,51)"
"(MoS2,59);(Mo2S5,72);(Mo2S8,31)","(MoS5,50);(MoS7,52)"
"(MoS3,2);(MoOS4,3);(MoOS6,2)","(MoS5,483);(MoS7,55)"
"(MoS5,208);(Mo2S8,11);(MoS3,118)","(MoS5,355);(MoS7,49)"
"(MoS3,2);(MoS5,6);(MoS3,14)","(MoS5,173);(MoS7,54)"
"(Mo2S7,50);(MoS5,23);(MoOS6,5)","(MoS5,73);(MoS7,63)"
"(MoS3,174);(MoS5,20);(MoS3,3)","(MoS5,413);(MoS7,69)"
"(MoOS4,20);(MoS3,1);(MoOS6,1)","(MoS5,275);(MoS7,70)"
"(MoOS3,2);(MoS2,269);(MoS4,222)","(MoS5,452);(MoS7,65)"
"(Mo2S8,230);(Mo2S6,94);(Mo2S9,41)","(MoS5,148);(MoS7,65)"
"(Mo2S8,25);(MoOS4,15);(Mo2S8,169)","(Mo2S10,12);(MoS7,61)"
"(MoOS4,3);(MoO2S5,3);(MoOS4,9)","(MoS5,361);(MoS7,62)"
"(MoOS6,15);(MoS5,2);(MoOS6,8)","(MoS5,383);(MoS7,65)"
"(MoS,192);(MoS3,220);(MoOS4,12)","(MoS5,400);(MoS7,59)"
"(Mo2S8,230);(Mo2S6,94);(Mo2S9,41)","(MoS5,148);(MoS7,65)"
"(MoS3,155);(MoS5,162);(MoOS6,3)","(MoS5,127);(MoS7,65)"
"(MoS2,5);(MoS5,143);(MoOS6,9)","(MoS5,4);(MoS7,66)"
"(MoS3,191);(MoS5,189);(Mo2S7,7)","(MoS5,435);(MoS7,70)"
"(MoS2,274);(MoS4,14);(Mo2S7,2)","(MoS5,110);(MoS7,66)"
"(Mo2S9,20);(MoS4,8);(Mo2S7,28)","(MoS5,297);(MoS7,69)"
"(MoO2S5,6);(MoOS4,168);(MoOS6,8)","(MoS5,41);(MoS7,68)"
"(MoS3,18);(MoS5,2);(MoS3,582)","(MoS5,449);(MoS7,61)"
"(MoS2,5);(MoS5,143);(MoOS6,9)","(MoS5,4);(MoS7,66)"
"(MoS3,2);(MoOS4,203);(MoOS6,8)","(MoS5,721);(MoS7,60)"
"(MoS4,2);(Mo2S7,199);(Mo2S9,194)","(MoS5,188);(MoS7,67)"
"(MoS4,1);(MoS3,391);(MoS5,645)","(MoOS6,2);(MoS7,83)"
"(MoS2,373);(Mo2S8,112);(Mo2S10,23)","(MoS5,307);(MoS7,76)"
"(MoS3,55);(MoS5,263);(MoOS6,3)","(MoS5,694);(MoS7,73)"
"(MoS3,2);(MoOS4,14);(MoOS6,2)","(MoS5,186);(MoS7,80)"
"(MoS4,2);(MoOS5,60);(MoOS6,10)","(MoS5,110);(MoS7,71)"
"(MoOS4,2);(MoS3,399);(MoS5,53)","(MoS3,59);(MoS7,85)"
"(MoOS6,9);(MoS5,231);(MoOS6,13)","(MoS5,508);(MoS7,73)"
"(MoS3,55);(MoS5,263);(MoOS6,3)","(MoS5,694);(MoS7,73)"
"(MoOS6,19);(MoS5,2);(MoOS6,41)","(MoS5,36);(MoS7,74)"
"(MoS4,40);(MoS3,1);(Mo2S9,7)","(MoS5,261);(MoS7,80)"
"(MoOS4,23);(Mo2S7,17);(Mo2S9,2)","(MoS5,490);(MoS7,73)"
"(MoS3,206);(MoOS4,19);(MoS3,219)","(MoS5,359);(MoS7,74)"
"(MoOS4,3);(MoS4,1);(MoOS6,1)","(MoS5,760);(MoS7,73)"
"(MoS3,1088);(MoS5,5);(MoS3,100)","(MoS5,406);(MoS7,85)"
"(MoOS6,1);(MoS5,432);(MoOS6,43)","(MoS5,182);(MoS7,85)"
"(MoS3,227);(MoS5,185);(MoOS6,26)","(MoS5,214);(MoS7,73)"
"(Mo2S9,30);(Mo2S7,97);(Mo2S9,129)","(MoS5,8);(MoS7,73)"
"(MoS4,80);(Mo2S9,73);(MoS4,52)","(MoS5,60);(MoS7,72)"
"(MoS3,109);(MoS5,23);(MoS3,117)","(MoS5,229);(MoS7,80)"
"(MoOS6,1);(MoS5,43);(MoS3,116)","(MoS5,352);(MoS7,74)"
"(MoOS6,38);(MoOS4,1);(MoS5,5)","(MoOS6,2);(MoS7,102)"
"(MoOS4,151);(MoS3,12);(MoS4,1)","(MoS5,492);(MoS7,98)"
"(MoS4,37);(Mo2S9,3);(MoS4,143)","(MoS5,176);(MoS7,88)"
"(Mo2S7,33);(MoS4,30);(Mo2S9,4)","(MoS4,98);(MoS7,91)"
"(MoS2,4);(MoOS3,245);(MoOS6,4)","(MoS5,2);(MoS7,95)"
"(MoOS6,2);(MoS5,2);(MoOS6,10)","(MoS5,285);(MoS7,101)"
"(MoOS4,35);(MoOS2,1);(MoS3,81)","(MoS5,248);(MoS7,96)"
"(MoS2,27);(MoS,5);(MoS2,77)","(MoS5,38);(MoS7,94)"
"(MoS5,2);(MoOS6,65);(MoS5,304)","(MoOS6,144);(MoS7,104)"
"(MoS4,232);(MoS5,101);(MoS3,23)","(MoS5,441);(MoS7,90)"
"(MoS4,2);(MoOS5,107);(MoS4,2)","(MoOS5,143);(MoS7,99)"
"(MoS3,2);(MoOS4,93);(MoS3,92)","(MoS5,74);(MoS7,90)"
"(MoOS4,1);(MoS3,58);(MoS5,185)","(Mo2S10,57);(MoS7,86)"
"(Mo2S9,2);(MoS5,262);(MoOS6,157)","(MoS5,108);(MoS7,102)"
"(MoOS6,54);(MoS5,4);(MoOS6,7)","(MoS5,9);(MoS7,91)"
"(MoS3,2);(MoOS4,156);(MoOS6,2)","(MoS5,492);(MoS7,97)"
"(MoOS2,14);(MoOS,28);(Mo2S6,124)","(MoS5,224);(MoS7,90)"
"(MoS5,8);(Mo2S10,2);(Mo2S9,368)","(MoS5,266);(MoS7,103)"
"(Mo2S8,50);(MoS5,25);(MoOS6,6)","(MoS5,336);(MoS7,103)"
"(MoOS4,60);(MoS3,82);(MoS5,1)","(MoS4,289);(MoS7,91)"
"(MoS4,176);(MoOS5,10);(MoS4,139)","(MoS5,520);(MoS7,117)"
"(MoOS6,20);(MoS5,2);(MoOS6,65)","(MoS5,158);(MoS7,118)"
"(MoS2,29);(MoS4,2);(MoS3,4)","(MoS5,554);(MoS7,116)"
"(Mo2S10,47);(MoS5,43);(MoOS6,4)","(MoS5,452);(MoS7,122)"
"(Mo2S9,323);(MoS5,14);(Mo2S9,18)","(MoS5,367);(MoS7,105)"
"(MoOS6,2);(MoS5,63);(MoOS6,44)","(MoS5,49);(MoS7,125)"
"(MoS,180);(MoOS2,45);(MoS3,406)","(MoS5,126);(MoS7,122)"
"(MoOS,228);(MoOS2,4);(MoS3,101)","(MoS5,857);(MoS7,122)"
"(MoS3,66);(MoOS4,48);(MoOS6,1)","(MoS5,156);(MoS7,120)"
"(Mo2S5,3);(MoOS3,8);(Mo2S7,228)","(MoS5,109);(MoS7,124)"
"(Mo2S7,11);(MoS4,214);(Mo2S9,581)","(MoS5,59);(MoS7,113)"
"(MoOS5,252);(MoOS6,780);(MoS5,2)","(MoOS6,721);(MoS7,114)"
"(Mo2S7,50);(Mo2S5,2);(Mo2S7,9)","(MoS5,163);(MoS7,105)"
"(MoOS6,10);(MoS5,2);(MoOS6,16)","(MoS5,97);(MoS7,120)"
"(MoS,180);(MoOS2,45);(MoS3,406)","(MoS5,126);(MoS7,122)"
"(Mo2S5,3);(MoOS3,8);(Mo2S7,228)","(MoS5,109);(MoS7,124)"
"(MoOS4,5);(MoS5,141);(MoOS6,3)","(MoS5,217);(MoS7,115)"
"(MoS2,209);(MoS4,14);(MoS3,35)","(MoS5,115);(MoS7,125)"
"(MoOS5,252);(MoOS6,780);(MoS5,2)","(MoOS6,721);(MoS7,114)"
"(MoO2S5,28);(MoS5,2);(MoO2S5,15)","(MoS5,118);(MoS7,118)"
"(MoS3,306);(MoS5,538);(Mo2S9,25)","(MoS5,199);(MoS7,142)"
"(MoOS5,5);(MoS4,58);(Mo2S9,15)","(MoS5,6);(MoS7,133)"
"(MoS3,123);(Mo2S5,7);(MoS3,68)","(MoS5,730);(MoS7,143)"
"(MoOS2,165);(MoOS4,5);(MoS3,140)","(MoS5,463);(MoS7,140)"
"(MoS3,31);(MoS5,21);(MoS3,173)","(MoS5,458);(MoS7,132)"
"(MoS5,18);(MoOS4,1);(MoOS6,9)","(MoS5,795);(MoS7,130)"
"(MoS5,18);(MoOS4,1);(MoOS6,9)","(MoS5,795);(MoS7,130)"
"(MoS4,3);(Mo2S8,18);(MoS3,18)","(MoS5,492);(MoS7,146)"
"(MoOS6,15);(MoS5,2);(MoOS6,10)","(MoS5,249);(MoS7,145)"
"(MoO2S2,4);(MoS4,35);(Mo2S8,2)","(MoS5,291);(MoS7,153)"
"(MoOS6,15);(MoS5,2);(MoOS6,10)","(MoS5,249);(MoS7,145)"
"(MoS2,526);(Mo2S8,252);(Mo2S10,9)","(MoS5,359);(MoS7,147)"
"(Mo2S10,1);(MoS5,263);(Mo2S9,44)","(MoS5,9);(MoS7,132)"
"(MoS5,22);(Mo2S8,11);(MoS5,11)","(Mo2S9,7);(MoS7,152)"
"(MoOS4,55);(MoS5,1);(MoOS6,10)","(MoS5,72);(MoS7,145)"
"(MoS5,3);(MoOS6,15);(MoS5,1)","(Mo2S7,142);(MoS7,130)"
"(MoS4,786);(Mo2S6,123);(Mo2S7,693)","(Mo2S9,639);(MoS7,138)"
"(MoOS6,21);(MoS5,5);(MoOS6,4)","(MoS5,57);(MoS7,147)"
"(MoOS6,32);(MoS5,2);(MoOS6,39)","(MoS5,20);(MoS7,139)"
"(MoOS2,165);(MoOS4,5);(MoS3,140)","(MoS5,463);(MoS7,140)"
"(MoS3,3);(MoOS4,8);(MoS3,211)","(MoS5,157);(MoS7,174)"
"(MoOS3,19);(MoS3,27);(Mo2S6,12)","(MoS5,294);(MoS7,181)"
"(MoS3,5);(MoS4,1);(MoS5,256)","(Mo2S9,44);(MoS7,180)"
"(MoOS6,4);(MoS5,440);(MoOS6,25)","(MoS5,37);(MoS7,156)"
"(MoOS6,4);(MoS5,440);(MoOS6,25)","(MoS5,37);(MoS7,156)"
"(MoOS4,38);(MoS5,1);(MoOS6,30)","(MoS5,10);(MoS7,188)"
"(MoOS6,14);(MoS5,2);(MoOS6,6)","(MoS5,326);(MoS7,185)"
"(MoS3,829);(MoS5,10);(MoS3,51)","(MoS5,1250);(MoS7,155)"
"(MoS3,56);(MoS5,213);(MoOS6,7)","(MoS5,152);(MoS7,160)"
"(MoOS5,3);(MoS5,1);(MoOS6,16)","(MoS5,72);(MoS7,156)"
"(MoS3,5);(MoOS4,6);(MoS3,133)","(MoS5,492);(MoS7,171)"
"(MoS3,829);(MoS5,10);(MoS3,51)","(MoS5,1250);(MoS7,155)"
"(Mo2S8,371);(MoS5,246);(Mo2S7,44)","(MoS5,4);(MoS7,162)"
"(MoOS6,2);(MoS5,866);(MoOS6,2)","(MoS5,516);(MoS7,166)"
"(MoOS6,2);(MoS5,160);(MoOS6,28)","(MoS5,39);(MoS7,188)"
"(MoS4,9);(MoS2,18);(MoS4,1)","(MoS5,232);(MoS7,176)"
"(MoS3,105);(MoS5,6);(MoS3,198)","(MoS5,440);(MoS7,187)"
"(MoS4,2);(MoS2,150);(MoOS,6)","(MoS5,94);(MoS7,188)"
"(MoOS5,3);(MoS5,1);(MoOS6,16)","(MoS5,72);(MoS7,156)"
"(MoS3,2);(MoOS4,57);(MoS3,333)","(MoS5,576);(MoS7,166)"
"(MoOS6,10);(MoS5,4);(MoOS6,19)","(MoS5,57);(MoS7,202)"
"(Mo2S7,408);(Mo2S8,67);(Mo2S10,8)","(MoS5,112);(MoS7,193)"
"(Mo2S7,408);(Mo2S8,67);(Mo2S10,8)","(MoS5,112);(MoS7,193)"
